n	x	y	T(x,y)	Erro_Absoluto
19	1.7778	5.3333	34.4691	1.259259
19	1.7778	5.6667	28.3210	1.259259
19	1.7778	6.0000	21.7284	1.259259
19	2.2222	0.0000	71.5062	1.259259
19	2.2222	0.3333	72.7654	1.259259
19	2.2222	0.6667	73.5802	1.259259
19	2.2222	1.0000	73.9506	1.259259
19	2.2222	1.3333	73.8765	1.259259
19	2.2222	1.6667	73.3580	1.259259
19	2.2222	2.0000	72.3951	1.259259
19	2.2222	2.3333	70.9877	1.259259
19	2.2222	2.6667	69.1358	1.259259
19	2.2222	3.0000	66.8395	1.259259
19	2.2222	3.3333	64.0988	1.259259
19	2.2222	3.6667	60.9136	1.259259
19	2.2222	4.0000	57.2840	1.259259
19	2.2222	4.3333	53.2099	1.259259
19	2.2222	4.6667	48.6914	1.259259
19	2.2222	5.0000	43.7284	1.259259
19	2.2222	5.3333	38.3210	1.259259
19	2.2222	5.6667	32.4691	1.259259
19	2.2222	6.0000	26.1728	1.259259
19	2.6667	0.0000	70.2222	1.259259
19	2.6667	0.3333	71.7778	1.259259
19	2.6667	0.6667	72.8889	1.259259
19	2.6667	1.0000	73.5556	1.259259
19	2.6667	1.3333	73.7778	1.259259
19	2.6667	1.6667	73.5556	1.259259
19	2.6667	2.0000	72.8889	1.259259
19	2.6667	2.3333	71.7778	1.259259
19	2.6667	2.6667	70.2222	1.259259
19	2.6667	3.0000	68.2222	1.259259
19	2.6667	3.3333	65.7778	1.259259
19	2.6667	3.6667	62.8889	1.259259
19	2.6667	4.0000	59.5556	1.259259
19	2.6667	4.3333	55.7778	1.259259
19	2.6667	4.6667	51.5556	1.259259
19	2.6667	5.0000	46.8889	1.259259
19	2.6667	5.3333	41.7778	1.259259
19	2.6667	5.6667	36.2222	1.259259
19	2.6667	6.0000	30.2222	1.259259
19	3.1111	0.0000	68.5432	1.259259
19	3.1111	0.3333	70.3951	1.259259
19	3.1111	0.6667	71.8025	1.259259
19	3.1111	1.0000	72.7654	1.259259
19	3.1111	1.3333	73.2840	1.259259
19	3.1111	1.6667	73.3580	1.259259
19	3.1111	2.0000	72.9877	1.259259
19	3.1111	2.3333	72.1728	1.259259
19	3.1111	2.6667	70.9136	1.259259
19	3.1111	3.0000	69.2099	1.259259
19	3.1111	3.3333	67.0617	1.259259
19	3.1111	3.6667	64.4691	1.259259
19	3.1111	4.0000	61.4321	1.259259
19	3.1111	4.3333	57.9506	1.259259
19	3.1111	4.6667	54.0247	1.259259
19	3.1111	5.0000	49.6543	1.259259
19	3.1111	5.3333	44.8395	1.259259
19	3.1111	5.6667	39.5802	1.259259
19	3.1111	6.0000	33.8765	1.259259
19	3.5556	0.0000	66.4691	1.259259
19	3.5556	0.3333	68.6173	1.259259
19	3.5556	0.6667	70.3210	1.259259
19	3.5556	1.0000	71.5802	1.259259
19	3.5556	1.3333	72.3951	1.259259
19	3.5556	1.6667	72.7654	1.259259
19	3.5556	2.0000	72.6914	1.259259
19	3.5556	2.3333	72.1728	1.259259
19	3.5556	2.6667	71.2099	1.259259
19	3.5556	3.0000	69.8025	1.259259
19	3.5556	3.3333	67.9506	1.259259
19	3.5556	3.6667	65.6543	1.259259
19	3.5556	4.0000	62.9136	1.259259
19	3.5556	4.3333	59.7284	1.259259
19	3.5556	4.6667	56.0988	1.259259
19	3.5556	5.0000	52.0247	1.259259
19	3.5556	5.3333	47.5062	1.259259
19	3.5556	5.6667	42.5432	1.259259
19	3.5556	6.0000	37.1358	1.259259
19	4.0000	0.0000	64.0000	1.259259
19	4.0000	0.3333	66.4444	1.259259
19	4.0000	0.6667	68.4444	1.259259
19	4.0000	1.0000	70.0000	1.259259
19	4.0000	1.3333	71.1111	1.259259
19	4.0000	1.6667	71.7778	1.259259
19	4.0000	2.0000	72.0000	1.259259
19	4.0000	2.3333	71.7778	1.259259
19	4.0000	2.6667	71.1111	1.259259
19	4.0000	3.0000	70.0000	1.259259
19	4.0000	3.3333	68.4444	1.259259
19	4.0000	3.6667	66.4444	1.259259
19	4.0000	4.0000	64.0000	1.259259
19	4.0000	4.3333	61.1111	1.259259
19	4.0000	4.6667	57.7778	1.259259
19	4.0000	5.0000	54.0000	1.259259
19	4.0000	5.3333	49.7778	1.259259
19	4.0000	5.6667	45.1111	1.259259
19	4.0000	6.0000	40.0000	1.259259
19	4.4444	0.0000	61.1358	1.259259
19	4.4444	0.3333	63.8765	1.259259
19	4.4444	0.6667	66.1728	1.259259
19	4.4444	1.0000	68.0247	1.259259
19	4.4444	1.3333	69.4321	1.259259
19	4.4444	1.6667	70.3951	1.259259
19	4.4444	2.0000	70.9136	1.259259
19	4.4444	2.3333	70.9877	1.259259
19	4.4444	2.6667	70.6173	1.259259
19	4.4444	3.0000	69.8025	1.259259
19	4.4444	3.3333	68.5432	1.259259
19	4.4444	3.6667	66.8395	1.259259
19	4.4444	4.0000	64.6914	1.259259
19	4.4444	4.3333	62.0988	1.259259
19	4.4444	4.6667	59.0617	1.259259
19	4.4444	5.0000	55.5802	1.259259
19	4.4444	5.3333	51.6543	1.259259
19	4.4444	5.6667	47.2840	1.259259
19	4.4444	6.0000	42.4691	1.259259
19	4.8889	0.0000	57.8765	1.259259
19	4.8889	0.3333	60.9136	1.259259
19	4.8889	0.6667	63.5062	1.259259
19	4.8889	1.0000	65.6543	1.259259
19	4.8889	1.3333	67.3580	1.259259
19	4.8889	1.6667	68.6173	1.259259
19	4.8889	2.0000	69.4321	1.259259
19	4.8889	2.3333	69.8025	1.259259
19	4.8889	2.6667	69.7284	1.259259
19	4.8889	3.0000	69.2099	1.259259
19	4.8889	3.3333	68.2469	1.259259
19	4.8889	3.6667	66.8395	1.259259
19	4.8889	4.0000	64.9877	1.259259
19	4.8889	4.3333	62.6914	1.259259
19	4.8889	4.6667	59.9506	1.259259
19	4.8889	5.0000	56.7654	1.259259
19	4.8889	5.3333	53.1358	1.259259
19	4.8889	5.6667	49.0617	1.259259
19	4.8889	6.0000	44.5432	1.259259
19	5.3333	0.0000	54.2222	1.259259
19	5.3333	0.3333	57.5556	1.259259
19	5.3333	0.6667	60.4444	1.259259
19	5.3333	1.0000	62.8889	1.259259
19	5.3333	1.3333	64.8889	1.259259
19	5.3333	1.6667	66.4444	1.259259
19	5.3333	2.0000	67.5556	1.259259
19	5.3333	2.3333	68.2222	1.259259
19	5.3333	2.6667	68.4444	1.259259
19	5.3333	3.0000	68.2222	1.259259
19	5.3333	3.3333	67.5556	1.259259
19	5.3333	3.6667	66.4444	1.259259
19	5.3333	4.0000	64.8889	1.259259
19	5.3333	4.3333	62.8889	1.259259
19	5.3333	4.6667	60.4444	1.259259
19	5.3333	5.0000	57.5556	1.259259
19	5.3333	5.3333	54.2222	1.259259
19	5.3333	5.6667	50.4444	1.259259
19	5.3333	6.0000	46.2222	1.259259
19	5.7778	0.0000	50.1728	1.259259
19	5.7778	0.3333	53.8025	1.259259
19	5.7778	0.6667	56.9877	1.259259
19	5.7778	1.0000	59.7284	1.259259
19	5.7778	1.3333	62.0247	1.259259
19	5.7778	1.6667	63.8765	1.259259
19	5.7778	2.0000	65.2840	1.259259
19	5.7778	2.3333	66.2469	1.259259
19	5.7778	2.6667	66.7654	1.259259
19	5.7778	3.0000	66.8395	1.259259
19	5.7778	3.3333	66.4691	1.259259
19	5.7778	3.6667	65.6543	1.259259
19	5.7778	4.0000	64.3951	1.259259
19	5.7778	4.3333	62.6914	1.259259
19	5.7778	4.6667	60.5432	1.259259
19	5.7778	5.0000	57.9506	1.259259
19	5.7778	5.3333	54.9136	1.259259
19	5.7778	5.6667	51.4321	1.259259
19	5.7778	6.0000	47.5062	1.259259
19	6.2222	0.0000	45.7284	1.259259
19	6.2222	0.3333	49.6543	1.259259
19	6.2222	0.6667	53.1358	1.259259
19	6.2222	1.0000	56.1728	1.259259
19	6.2222	1.3333	58.7654	1.259259
19	6.2222	1.6667	60.9136	1.259259
19	6.2222	2.0000	62.6173	1.259259
19	6.2222	2.3333	63.8765	1.259259
19	6.2222	2.6667	64.6914	1.259259
19	6.2222	3.0000	65.0617	1.259259
19	6.2222	3.3333	64.9877	1.259259
19	6.2222	3.6667	64.4691	1.259259
19	6.2222	4.0000	63.5062	1.259259
